name,node_ID,width_threshold,node_Area,node_Degree,degree_Asymmetry,subtree_degree_Asymmetry,area_Asymmetry,subtree_area_Asymmetry,node_HS,Area,Perimeter,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,Elongation,Roughness,VTotLen,VTotVol,MSTLength,MSTRatio,Boundary,vein_density
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,465,0,0.112560008,1,0,0,0,0,1,0.112560008,1.58362446,0.672644902,0.247831359,0.929650309,-0.833070647,0.564013601,2.714123449,22.28026166,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,466,0,0.046233326,1,0,0,0,0,1,0.046233326,0.94671148,0.405636443,0.155211398,0.92389888,-0.523549877,0.648230872,2.613444942,19.38564044,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,467,0,0.068187178,1,0,0,0,0,1,0.068187178,1.14011304,0.455412275,0.212280495,0.884717198,6.280576462,0.659199331,2.145332641,19.06308157,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,468,0,0.094745759,1,0,0,0,0,1,0.094745759,1.25704194,0.51130767,0.24194072,0.880965605,-12.86942417,0.753477185,2.113359294,16.67783824,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,469,0,0.086280502,1,0,0,0,0,1,0.086280502,1.29234908,0.550381886,0.220504657,0.916235825,-15.99442527,0.649176591,2.496010257,19.35739948,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,470,0,0.130467282,1,0,0,0,0,1,0.130467282,1.49653306,0.544698209,0.323366773,0.804714306,3.467344262,0.732046803,1.684459428,17.1660754,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,471,0,0.13972325,1,0,0,0,0,1,0.13972325,1.61643548,0.680467417,0.275781225,0.914191701,-5.406065459,0.671988426,2.467417485,18.70027836,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,472,0,0.071443046,1,0,0,0,0,1,0.071443046,1.09685378,0.383043532,0.249194815,0.759450354,-1.653478267,0.746229402,1.537124804,16.83982242,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,473,0,0.065163872,1,0,0,0,0,1,0.065163872,1.1289487,0.474993126,0.182790593,0.922988359,4.368490646,0.6424929,2.598564395,19.55876961,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,474,0,0.06028007,1,0,0,0,0,1,0.06028007,0.9809547,0.368992823,0.21861991,0.805587068,-10.69001442,0.787201132,1.687828079,15.96335434,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
