spp_code,species,canonical_author,genus,family,order,clade,accession_number,ucbg_bed,ucbg_area,growth_form,venation_type,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_M_imputed,SWP_L,SWP_L_imputed,SWS_M,SWS_M_imputed,SWS_L,SWS_L_imputed,e_W,e_W_imputed,e_L,e_L_imputed,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Dkleaf_mean_imputed,Phe,Phe_imputed,Kleaf_max,P50,P50_imputed,P88,P88_imputed,ISI
Cos_tap,Costus tappenbeckianus,J. Braun & K. Schum.,Costus,Costaceae,Zingiberales,monocots,20090527,Greenhouse 2,Tropical house,herb,parallel,2.998419758,0.050571468,0,0.614867847,0.995191677,0,1.42850329,1.046091197,1.047218284,55.84,107.82,107.82,88.62,88.62,889.25,889.25,4118.85,4118.85,2.9,2.9,5.2,5.2,-77.93,-83.75,-80.84,-80.84,1.44,1.44,0.89,NA,0.847903024,NA,2.645890387,0.22
Cri_pat,Crinodendron patagua,Molina,Crinodendron,Elaeocarpaceae,Oxalidales,rosids,541123,608,South-America,tree,pinnate,4.080530491,2.577729814,0.39394018,0.694459966,0.785192915,0.989092463,0.70556293,1.054318263,2.121384603,128.81,617.76,617.76,45.79,45.79,438.41,438.41,3048.4,3048.4,14.41,14.41,NA,65.53726349,-94.05,-88.04,-91.045,-91.045,5.77,5.77,12.4,NA,0.477033183,NA,1.960812983,0.32
Cup_nud,Cuphea nudicostata,Hemsl.,Cuphea,Lythraceae,Myrtales,rosids,900446,353,Mexico/Central America,shrub,pinnate,7.59056636,3.862831043,0.267452599,0.595295053,0.763807728,0.99185275,0.791797061,0.984599476,2.616707779,39.69,19.35,19.35,9.62,9.62,85.45,85.45,727.39,727.39,2.64,2.64,NA,62.17926474,-20.34,-73.02,-46.68,-46.68,5.76,5.76,3.34,NA,0.857500551,NA,2.099648359,0.48
Cus_spi,Cussonia spicata,Thunb.,Cussonia,Araliaceae,Apiales,asterids,730574,142,Africa,tree,pinnate,4.238684588,0.116532604,0.074472193,0.70842712,0.968493145,1,0.848468987,1.402785071,1.365450185,80.65,303.26,303.26,154.5,154.5,1444.49,1444.49,4725.71,4725.71,3.25,3.25,NA,16.13133214,-63.2,-82.84,-73.02,-73.02,2.47,2.47,2.18,1.71,1.71,2.39,2.39,0.32
Cya_ful,Cyathea fulva,(M. Martens & Galeotti) Fée,Cyathea,Cyatheaceae,Cyatheales,ferns,20120101,352,Mexico/Central America,tree,pinnate,3.080889713,1.686806788,0.696158704,0.603562249,0.823206795,0.946903424,1.448617528,3.251084017,3.261355688,37.38,28.53,28.53,11.26,11.26,103.71,103.71,NA,2712.505164,2.57,2.57,NA,46.08626945,-98.55,-89.86,-94.205,-94.205,1.21,1.21,0.93,NA,0.913253319,NA,2.118206568,0.31
Cyc_bip,Cyclanthus bipartitus,Poit. ex A. Rich.,Cyclanthus,Cyclanthaceae,Pandanales,monocots,931315,Greenhouse 2,Tropical house,herb,parallel,3.198022593,0.036900416,0.020923688,0.546763175,0.877536735,0.930681189,1.701485472,3.400911414,3.421620913,57.1,228.95,228.95,170.2,170.2,622.98,622.98,5878.35,5878.35,2.45,2.45,NA,38.91824069,-75.61,-58.14,-66.875,-66.875,0.43,0.43,0.64,NA,0.822435017,NA,2.27812911,0.24
Dap_him,Daphniphyllum himalayense,(Benth.) Müll. Arg.,Daphniphyllum,Daphniphyllaceae,Saxifragales,basal eudicots,20020188,220B,Asia,tree,pinnate,2.911808597,0.167668537,0.058548366,0.810245216,0.980483333,0.986006849,0.68044216,4.640239785,2.100337737,121.62,185.2,185.2,138.05,138.05,1043.45,1043.45,6564.48,6564.48,0.93,0.93,7.98,7.98,-70.48,-79.31,-74.895,-74.895,2.08,2.08,3.32,0.56,0.56,1.7,1.7,0.38
Del_fis,Delphinium fissum,Waldst.,Delphinium,Ranunculaceae,Ranunculales,basal eudicots,20020423,709,Mediterranean,herb,palmate,6.509017075,0.036170871,0.001802353,0.680523153,1,1,0.870880074,0.303347842,0.303420098,90.58,99.81,99.81,86.03,86.03,394.86,394.86,5643.93,5643.93,2.89,2.89,NA,30.12634316,-94.84,-95.37,-95.105,-95.105,2.26,2.26,13.69,NA,0.723581603,NA,2.185420916,0.3
Des_spi,Desfontainia spinosa,Ruiz & Pav.,Desfontainia,Columelliaceae,Bruniales,asterids,830792,658,South-America,tree,pinnate,2.30592719,1.479681983,0.2369197,0.784774688,0.845267643,0.998506017,0.715697185,1.001428506,0.606026393,151.09,325.29,325.29,246.33,246.33,1075.82,1075.82,5558.93,5558.93,25.7,25.7,219.04,219.04,-96,-93.52,-94.76,-94.76,1.31,1.31,26.53,0.29,0.29,0.98,0.98,0.57
Dic_ant,Dicksonia antarctica,Labill.,Dicksonia,Dicksoniaceae,Cyatheales,ferns,941056,508,Australasia,tree,pinnate,0,2.845142757,1.402993445,0,0.632583512,0.887826096,0,1.560109851,1.566818457,106.06,391.9,391.9,143.59,143.59,542.53,542.53,35020.8,35020.8,63.3,63.3,NA,144.3144674,158.8,-12.7,73.05,73.05,2.66,2.66,0.19,2.27,2.27,6.87,6.87,0.25
