spp_code,species,family,order,clade,VD.median,MST.median,ER.median,CR.median,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,rmin_binned
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.4312140837217634,0.991485159,1.7364432799547471,0.346300208,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.2
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.42594739229158335,0.992839649,1.9448102953758755,0.322854414,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.21000000000000002
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.39053544397403933,0.99221801,1.9446770793630495,0.32518177,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.23
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.3813301115831269,0.99296073,1.7362697921118135,0.354459681,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.24000000000000002
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.36456025290752697,0.993297593,1.736267469602538,0.35446229,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.25
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.32690946300160845,0.99390329,1.9448328177506673,0.332898554,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.27
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.32123080643051655,0.997148927,1.8436270630200675,0.3487741185,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.28
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.30723526327555567,0.998774076,1.7362725388025924,0.365080981,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.29000000000000004
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.2721028610654434,1,1.9450933355497366,0.339883522,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.32
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.21849619218650013,1,1.9455971307030653,0.338242208,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.38
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.2079662977503807,1,1.736281874293457,0.363522095,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.39
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.20249832591900604,1,1.173371926117205,0.573934225,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.41000000000000003
Als_lig,Alstroemeria ligtu,Alstroemeriaceae,Liliales,monocots,1.6120969468366348,0.542979745,5.315079714830249,0.0314851815,46.94,93.9,83.56,67.77,340.52,64.26,93.82371036118474,-98.96,-98.5,-98.72999999999999,1.8,33.78,0.4935431881632405,2.0253648714916763,0.19,0.01
Als_lig,Alstroemeria ligtu,Alstroemeriaceae,Liliales,monocots,1.6075680427278964,0.542158516,4.75913313377552,0.053930186,46.94,93.9,83.56,67.77,340.52,64.26,93.82371036118474,-98.96,-98.5,-98.72999999999999,1.8,33.78,0.4935431881632405,2.0253648714916763,0.19,0.03
Als_lig,Alstroemeria ligtu,Alstroemeriaceae,Liliales,monocots,1.2674860843417572,0.722873336,3.2673970404589645,0.091723671,46.94,93.9,83.56,67.77,340.52,64.26,93.82371036118474,-98.96,-98.5,-98.72999999999999,1.8,33.78,0.4935431881632405,2.0253648714916763,0.19,0.04
Als_lig,Alstroemeria ligtu,Alstroemeriaceae,Liliales,monocots,0.035928401022032694,1,2.5612730543618345,0.224633625,46.94,93.9,83.56,67.77,340.52,64.26,93.82371036118474,-98.96,-98.5,-98.72999999999999,1.8,33.78,0.4935431881632405,2.0253648714916763,0.19,0.05
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,2.486745127068715,0.707951944,0.8739922991651585,0.610288245,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.01
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,2.3884178415846753,0.723490608,0.8586532163801636,0.578608234,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.02
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,2.124388533437328,0.75934598,0.8333105807560588,0.581072215,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.03
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,1.6549261021266175,0.8119090959999999,0.8518116393898358,0.543228526,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.04
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,1.2141266760515559,0.8918465775,0.9546073732168634,0.5575368995000001,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.05
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,0.8472216085535118,0.940301451,1.3077473165715157,0.375243557,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.060000000000000005
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,0.5098066545269883,0.935076474,1.3264567727596706,0.492557846,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.06999999999999999
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,0.3573074208577258,0.9010340555,1.326607826940577,0.466816013,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.08
