...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
41,Dap_him,Daphniphyllum himalayense,Daphniphyllaceae,Saxifragales,basal eudicots,1.706402238,0.409473488,0.241967696,0.810245216,0.980483333,0.986006849,0.82488918,2.154121581,1.4492542,121.62,185.2,138.05,1043.45,6564.48,0.93,7.98,-70.48,-79.31,-74.895,2.08,3.32,0.56,1.7,0.38,4
42,Del_fis,Delphinium fissum,Ranunculaceae,Ranunculales,basal eudicots,2.551277538,0.190186411,0.042454128,0.680523153,1,1,0.933209555,0.550770226,0.550835818,90.58,99.81,86.03,394.86,5643.93,2.89,30.12634316,-94.84,-95.37,-95.105,2.26,13.69,0.723581603,2.185420916,0.3,4
43,Des_spi,Desfontainia spinosa,Columelliaceae,Bruniales,asterids,1.518527968,1.216421795,0.486743978,0.784774688,0.845267643,0.998506017,0.84598888,1.000713998,0.77847697,151.09,325.29,246.33,1075.82,5558.93,25.7,219.04,-96,-93.52,-94.76,1.31,26.53,0.29,0.98,0.57,6
44,Dic_ant,Dicksonia antarctica,Dicksoniaceae,Cyatheales,ferns,0,1.686755097,1.184480243,0,0.632583512,0.887826096,0,1.249043575,1.251726191,106.06,391.9,143.59,542.53,35020.8,63.3,144.3144674,158.8,-12.7,73.05,2.66,0.19,2.27,6.87,0.25,1
45,Dic_feb,Hydrangea febrifuga,Hydrangeaceae,Cornales,asterids,1.207209692,0.777730497,0.352144911,0.718756303,0.835377639,1,1.013366641,1.657130559,2.169338314,61.13,141.4,61.67,566.1,2946.15,0.46,6.21,-53.01,-26.32,-39.665,2.85,1.55,0.536601607,1.805316618,0.36,6
46,Dic_squ,Dicksonia squarrosa,Dicksoniaceae,Cyatheales,ferns,1.482579604,1.241811294,0.846810642,0.779366785,0.850882449,0.969253372,1.059319562,1.064761271,1.129916022,123.52,636.78,142.62,556.34,48815.26,69.01,111.3277771,414.25,175.69,294.97,3.92,0.24,1.608667719,4.676929782,0.31,1
47,Dio_lyc,Diospyros lycioides,Ebenaceae,Ericales,asterids,1.918011747,1.075444176,0.324579064,0.649136751,0.90267757,1,0.847069654,1.213306205,1.521285806,101.78,27.74,46.53,577.58,3306.71,0.62,22.14872426,0,-38.74,-19.37,6.68,32.91,0.748252348,2.385989816,0.34,6
48,Dio_pol,Dioscorea oppositifolia,Dioscoreaceae,Dioscoreales,monocots,1.857847302,1.230994919,0.377203336,0.745171958,0.885584197,1,0.869358926,1.043339248,0.443367283,46.6,198.13,96.73,142.04,3064.74,24.27,57.05994501,-85.86,-91.06,-88.46,1.27,0.91,0.654960374,1.860633341,0.26,3
49,Dip_esc,Diplazium esculentum,Athyriaceae,Polypodiales,ferns,1.893298009,1.256907611,0.51267194,0.612397897,0.817920469,1,1.655010699,1.717082003,1.778856182,43.25,24.16,58.83,499.66,13565.37,16.63,118.5435012,-92.21,-91.7,-91.955,5.06,7.51,0.49,0.96,0.2,1
50,Dir_occ,Dirca occidentalis,Thymelaeaceae,Malvales,rosids,2.910241669,2.091710913,0.61408221,0.63624385,0.816888818,0.982621828,0.802070829,0.823343014,0.418589656,42.52,183.48,196.15,643.2,4218.45,4.16,5.66,-52.67,-85.16,-68.915,1.83,6.68,0.690104934,2.208747238,0.48,5
51,Doo_asp,Doodia aspera,Blechnaceae,Polypodiales,ferns,1.358003582,1.130369593,0.752668873,0.6062728,0.799001123,0.989468318,0.964057619,0.944114097,1.029803963,119.71,430.26,255.77,498.89,8330.02,115.59,220.9966266,-97.4,-97.1,-97.25,5.12,1.19,2.24,3.33,0.41,1
52,Dry_rem,Dryopteris ramosa,Dryopteridaceae,Polypodiales,ferns,1.410924411,0.893980464,0.18992677,0.917634309,0.926944634,1,0.822005975,1.565469609,1.432061155,55.93,328.01,152.71,145.63,13797.98,34.61,135.0911215,-82.48,-76.88,-79.68,2.1,2.07,0.917610249,2.056544077,0.31,1
53,Ehr_acu,Ehretia acuminata,Boraginaceae,Boraginales,asterids,2.009418905,0.711476486,0.370294488,0.669233395,0.966714506,0.995717929,0.787362851,1.360190205,1.099273821,64.72,57.85,26.84,188.19,1564.21,3,7.71,-96.59,-70.22,-83.405,2.6,10.54,0.472781302,1.74749406,0.36,6
54,Equ_tel,Equisetum telmateia,Equisetaceae,Equisetales,ferns,1.363816441,1.269109078,1.246572193,0.884831926,1,1,7.867761227,7.426406199,5.928627183,64.92,142.0388233,77.16,1941.471155,5873.349691,14.45,84.16094289,-19.43958219,-1.51,-10.4747911,2.11,7.3,1.13828756,3.562047575,0.27,1
55,Esc_her,Escallonia herrerae,Escalloniaceae,Escalloniales,asterids,2.663634317,0.457869499,0.317591946,0.698929019,0.974635894,0.993823561,0.806353858,2.072444014,2.073289329,78.44,455.57,73.35,829.84,3249.5,8.91,96.26,-81.54,-67.46,-74.5,4.84,1.62,0.566904095,2.239789101,0.33,6
56,Euc_cri,Euclea crispa,Ebenaceae,Ericales,asterids,2.446860337,2.053057082,1.330309213,0.595691337,0.702985729,0.925870591,0.954869231,0.914695664,1.184488229,162.41,138.4309713,118.3,2258.59,6827.64,29.47,39.83,-63.89,-62.41,-63.15,6.96,28.99,0.980063687,3.006468567,0.53,6
57,Eur_jap,Eurya japonica,Pentaphylacaceae,Ericales,asterids,1.964124851,1.45173698,0.892318246,0.76345149,0.814407745,0.934211315,0.958979826,1.05965804,1.369156267,150.95,394.0057176,260.54,601.13,5920.35,2.95,25.51,-76.07,-47.36,-61.715,2.41,2.45,0.857890951,2.017966562,0.42,6
58,Eus_jap,Staphylea japonica,Staphyleaceae,Crossosomatales,rosids,2.829403847,1.862025775,0.397601693,0.637561536,0.821374488,0.992441929,0.834967085,1.018753264,1.372100097,76.87,135.84,63.31,499.14,4487.42,0.67,29.45649051,-98.68,-98.73,-98.705,6.4,9.4,0.954389481,2.169200292,0.24,5
59,Fra_son,Francoa appendiculata,Francoaceae,Geraniales,rosids,1.61523452,0.799321555,0.310674961,0.764210875,0.913065265,0.987339893,0.799953563,0.849813878,0.838520203,71.12,108.72,57.24,129.92,1460.66,90.38,78.85,-75.73,-90.31,-83.02,6.64,1.63,0.66,1,0.24,5
60,Gom_keu,Gomortega keule,Gomortegaceae,Laurales,basal angiosperms,2.101333386,0.826415578,0.427523113,0.688816731,0.959095337,0.998558764,0.870959124,1.129340552,0.887057274,276.2,364,140.59,1715.99,4501.98,4.8,11.99,-74,-38.86,-56.43,6.77,11.79,0.694457782,2.28255421,0.33,2
61,Hel_chi,Helwingia chinensis,Helwingiaceae,Aquifoliales,asterids,1.347365193,0.366305798,0.328469213,0.807059072,0.960419602,0.983940655,1.158546503,2.946268688,2.94593385,88.09,156.32,94.35,544.69,2308.55,2.88,19.1,-47.82,-65.27,-56.545,2.02,12.67,0.502783745,1.541853592,0.39,6
62,Hib_sca,Hibbertia scandens,Dilleniaceae,Dilleniales,rosids,2.93985229,2.552726272,1.058920939,0.555992068,0.730967123,0.902796772,0.809336376,0.916072553,1.142631806,91.72,132.67,120.1,737.11,4048.73,4.21,61.4747232,-66.45,-43.6,-55.025,4.13,3.2,0.780679143,2.301215155,0.33,5
63,Ill_lan,Illicium lanceolatum,Schisandraceae,Austrobaileyales,basal angiosperms,2.145207568,0.630062968,0.325517038,0.68889599,0.964018367,0.988982305,0.895500547,1.706162886,1.706921022,111.47,306.0054024,141.87,1591.79,4090.29,5.81,18.57,-98.25,-98.42,-98.335,1.27,12.4,0.16,0.51,0.35,2
64,Ite_ili,Itea ilicifolia,Iteaceae,Saxifragales,basal eudicots,1.943471263,1.506641712,0.6032113,0.638608722,0.799365658,0.988133173,0.827303212,0.92136808,0.758632968,207.03,413.9723064,209.15,1450.33,18989.68,5.83,75.75,-63.64,13.43,-25.105,4.68,4.65,0.895750159,2.037773233,0.38,4
65,Kni_uva,Kniphofia uvaria,Asphodelaceae,Asparagales,monocots,2.005018652,0,0,0.638974354,0,0,5.103200087,0,3.080759756,92.15,476.25,219.26,390.98,5351.83,30.11,71.2,-81.95,-96.71,-89.33,1.02,11.58,0.517817771,1.850886533,0.22,3
66,Lon_jap,Lonicera japonica,Caprifoliaceae,Dipsacales,asterids,1.849321734,1.188709268,0.502439199,0.71392333,0.906725931,0.968978486,0.768756706,1.074106961,1.227476301,48.61,76.27,170.3,325.21,6525.94,22.80072789,82.88050571,-91.93,-97.54,-94.735,1.48,12.78,0.544725899,1.473032019,0.33,6
67,Luz_niv,Luzula nivea,Juncaceae,Poales,monocots,0,1.933328436,0.419796795,0,0.773963652,1,0,8.205981217,5.057796594,93.22,344.0240679,333.32,2675.52016,6999.55,467.62,192.1753484,-50.43663037,-70.54,-60.48831519,2.61,12.87,1.180542206,3.198564649,0.43,3
68,Mag_che,Magnolia chevalieri,Magnoliaceae,Magnoliales,basal angiosperms,1.117749741,0.281026428,0.228986803,0.849400476,0.93239066,0.98548262,1.022561577,2.007613916,1.554333136,93.62,361.01,63.49,2524.91,5771.59,9.79,48.4290346,-97.17,-97.46,-97.315,1.75,34.83,0.73,1.96,0.27,2
69,Mal_pal,Malacothamnus palmeri,Malvaceae,Malvales,rosids,2.443080688,0.904282908,0.324347743,0.659777592,0.933792171,1,0.786348886,0.882286278,0.296796485,100.94,7.7,25.63,83.35,731.72,0.12,33.85981871,-93.84,-92.73,-93.285,1.57,4.73,1.087142851,1.883326821,0.5,5
