spp_code,leaf_area,SLA,LMA,LDMC,VTotV,PS_M,PS_L,PSS_M,PSS_L,WP_M,WP_L,SWP_M,SWP_L,SS_M,SS_L,WS_M,WS_L,SWS_M,SWS_L,e_W,e_L,E_W,E_L,Kleaf_max,Dkleaf_M,Dkleaf_L,P50,P88,ISI,gsw_max,A_max,Phe
Kni_uva,26.49,10.85,92.15,123.35,3.25,98.16,43.84,118.26,67.06,395.29,146.15,476.25,219.26,1.66,0.71,0.97,5.55,390.98,5351.83,30.11,71.2,4.51,2.344,11.58,-81.95,-96.71,NA,NA,0.22,NA,NA,1.02
Lon_jap,17.32,20.57,48.61,232.93,18.9,4.54,14.16,36.57,64.35,9.32,37.47,76.27,170.3,3.27,0.24,0.12,1.09,325.21,6525.94,NA,NA,NA,NA,12.78,-91.93,-97.54,NA,NA,0.33,NA,NA,1.48
Luz_niv,8.1,10.73,93.22,326.73,1.92,NA,29.77,NA,148.91,NA,66.5,NA,333.32,NA,1,NA,1.39,NA,6999.55,467.62,NA,0.239,NA,12.87,NA,-70.54,NA,NA,0.43,NA,NA,2.61
Mag_che,62.28,10.68,93.62,370.41,61.69,125.64,13.68,136.56,39.04,332.13,22.33,361.01,63.49,5.06,0.15,1.69,1.93,2524.91,5771.59,9.79,NA,0.14,NA,34.83,-97.17,-97.46,0.73,1.96,0.27,63.41,6.35,1.75
Mal_pal,17.55,9.91,100.94,355.68,91.37,2.38,5.75,3.03,10.17,5.99,14.62,7.7,25.63,0.31,0.02,0.06,0.3,83.35,731.72,0.12,NA,0.013,NA,4.73,-93.84,-92.73,NA,NA,0.5,NA,NA,1.57
Mel_maj,30.87,11.55,86.55,322.1,291.92,92.75,9.41,128.82,36.19,266.53,16.9,370.18,64.46,1.69,0.16,1.14,3.17,804.79,13784.6,8.67,NA,0.087,NA,1.18,-79.58,5.23,NA,NA,0.23,NA,NA,7
Met_dav,26.72,10.1,99.04,379.65,52,46.55,16.11,103.45,64.45,101.01,37.86,224.47,151.45,3.42,0.16,0.43,1.21,688.75,5196.97,9.25,26.62,0.088,0.03,1.12,-35.56,-5.56,0.56,1.96,0.34,57.12,7.33,0.85
Mic_mul,24.15,21.91,45.64,234.05,118.07,23.93,10.22,44.66,51.36,63.91,23.08,119.33,119.31,1.38,0.28,0.31,0.83,480.59,9266.65,4.43,NA,0.036,NA,1.36,-88.02,-56.83,NA,NA,0.26,NA,NA,6.16
Mic_pla,3.45,11.8,84.72,384.68,12.06,23.74,9.97,95.21,90.17,63.76,22.31,253.04,204.7,0.66,0.66,0.33,3.23,368.47,8601.36,NA,NA,NA,NA,0.86,-84.17,-94.05,0.75,2.3,0.36,26.65,2.51,2.83
Mon_car,2.09,17.85,56.03,200.91,6.87,15.75,12.04,107.9,68.46,31.46,34.57,218.28,218.15,6.08,0.24,0.16,0.37,731.59,2453.54,NA,NA,NA,NA,4.86,NA,NA,NA,NA,0.39,NA,NA,4.41
