...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_minor,VD_medium,VD_major,MST_minor,MST_medium,MST_major,ER_minor,ER_medium,ER_major,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
46,Dic_squ,Dicksonia squarrosa,Dicksoniaceae,Cyatheales,ferns,2.198042282,1.542095289,0.7170882635,0.779366785,0.850882449,0.969253372,1.122157934,1.133716564,1.2767102175,123.52,636.78,142.62,556.34,48815.26,69.01,NA,414.25,175.69,294.97,3.92,0.24,NA,NA,0.31,1
47,Dio_lyc,Diospyros lycioides,Ebenaceae,Ericales,asterids,3.6787690635,1.156580175,0.105351569,0.649136751,0.90267757,1,0.717526999,1.472111946,2.314310503,101.78,27.74,46.53,577.58,3306.71,0.62,NA,0,-38.74,-19.37,6.68,32.91,NA,NA,0.34,6
48,Dio_pol,Dioscorea oppositifolia,Dioscoreaceae,Dioscoreales,monocots,3.4515965975,1.5153484905,0.1422823565,0.7451719575,0.885584197,1,0.755784942,1.088556787,0.196574548,46.6,198.13,96.73,142.04,3064.74,24.27,NA,-85.86,-91.06,-88.46,1.27,0.91,NA,NA,0.26,3
49,Dip_esc,Diplazium esculentum,Athyriaceae,Polypodiales,ferns,3.584577349,1.579816743,0.2628325185,0.612397897,0.817920469,1,2.739060413,2.948370605,3.1643293155,43.25,24.16,58.83,499.66,13565.37,16.63,NA,-92.21,-91.7,-91.955,5.06,7.51,0.49,0.96,0.2,1
50,Dir_occ,Dirca occidentalis,Thymelaeaceae,Malvales,rosids,8.469506574,4.375254542,0.3770969605,0.63624385,0.816888818,0.982621828,0.6433176145,0.677893719,0.1752173,42.52,183.48,196.15,643.2,4218.45,4.16,5.66,-52.67,-85.16,-68.915,1.83,6.68,NA,NA,0.48,5
51,Doo_asp,Doodia aspera,Blechnaceae,Polypodiales,ferns,1.844173728,1.2777354165,0.5665104325,0.6062728,0.799001123,0.9894683175,0.9294070925,0.891351429,1.0604962015,119.71,430.26,255.77,498.89,8330.02,115.59,NA,-97.4,-97.1,-97.25,5.12,1.19,2.24,3.33,0.41,1
52,Dry_rem,Dryopteris ramosa,Dryopteridaceae,Polypodiales,ferns,1.990707693,0.79920107,0.036072178,0.917634309,0.9269446335,1,0.675693823,2.450695097,2.050799153,55.93,328.01,152.71,145.63,13797.98,34.61,NA,-82.48,-76.88,-79.68,2.1,2.07,NA,NA,0.31,1
53,Ehr_acu,Ehretia acuminata,Boraginaceae,Boraginales,asterids,4.037764336,0.50619879,0.137118008,0.6692333945,0.9667145055,0.995717929,0.619940259,1.850117395,1.208402934,64.72,57.85,26.84,188.19,1564.21,3,7.71,-96.59,-70.22,-83.405,2.6,10.54,NA,NA,0.36,6
54,Equ_tel,Equisetum telmateia,Equisetaceae,Equisetales,ferns,1.859995285,1.610637851,1.5539422325,0.884831926,1,1,61.90166672,55.15150903,35.148620275,64.92,NA,77.16,NA,NA,14.45,NA,NA,-1.51,NA,2.11,7.3,NA,NA,0.27,1
55,Esc_her,Escallonia herrerae,Escalloniaceae,Escalloniales,asterids,7.094947773,0.209644478,0.100864644,0.698929019,0.974635894,0.993823561,0.650206544,4.295024191,4.29852864,78.44,455.57,73.35,829.84,3249.5,8.91,96.26,-81.54,-67.46,-74.5,4.84,1.62,NA,NA,0.33,6
