spp_code,rmin_binned,VD.median,MST.median,ER.median,CR.median,spp_name_ucbg,spp_name_WP,canonical_author,genus_WP,family_WP,order_apg4,clade,sampling_date_YYYYMMDD,collectors,accession_number,ucbg_bed,ucbg_area,growth_form,evol_distinct
Cal_nut,0.9,0,0,1.627466191,0.638481075,Calamagrostis nutkaensis,Deyeuxia nutkaensis,(J. Presl) Steud.,Deyeuxia,Poaceae,Poales,monocots,20210616,"Mickey, Adrian, Somona, James, Sophia",891820,4,California,herb,0.013
Cal_pan,0.3,2.379536398,0.697954299,0.63842025,0.695861277,Caldcluvia paniculosa,Ackama paniculosa,(F.Muell.) Hoogland,Ackama,Cunoniaceae,Oxalidales,rosids,20210331; 20210915,"Mickey, Adrian; Mickey, James",20010597,513,Australasia,tree,0.092
Cal_pan,0.6,0.9226235,0.898105494,0.9029746729999999,0.638237202,Caldcluvia paniculosa,Ackama paniculosa,(F.Muell.) Hoogland,Ackama,Cunoniaceae,Oxalidales,rosids,20210331; 20210915,"Mickey, Adrian; Mickey, James",20010597,513,Australasia,tree,0.092
Cal_pan,0.9,0.210584919,0.998193785,2.448723394,0.510127917,Caldcluvia paniculosa,Ackama paniculosa,(F.Muell.) Hoogland,Ackama,Cunoniaceae,Oxalidales,rosids,20210331; 20210915,"Mickey, Adrian; Mickey, James",20010597,513,Australasia,tree,0.092
Cam_sin,0.3,4.362301099,0.755072543,0.7177780520000001,0.626954664,Camellia sinensis,Camellia sinensis,(L.) Kuntze,Camellia,Theaceae,Ericales,asterids,20210224,"Ilaine, Mickey, Eric",820215,235,Asia,tree,0.0496
Cam_sin,0.6,0.997310536,0.901362895,0.9412444339999999,0.543500456,Camellia sinensis,Camellia sinensis,(L.) Kuntze,Camellia,Theaceae,Ericales,asterids,20210224,"Ilaine, Mickey, Eric",820215,235,Asia,tree,0.0496
Cam_sin,0.9,0.24373366549999997,0.980555761,1.2381867635000001,0.511229301,Camellia sinensis,Camellia sinensis,(L.) Kuntze,Camellia,Theaceae,Ericales,asterids,20210224,"Ilaine, Mickey, Eric",820215,235,Asia,tree,0.0496
Can_can,0.3,3.4408903845,0.7394673780000001,1.044794291,0.535593729,Canarina canariensis,Canarina canariensis,(L.) Vatke,Canarina,Campanulaceae,Asterales,asterids,20210517,"Mickey, Ilaine, Gideon",611429,707B,Mediterranean,climbing,0.0692
Can_can,0.6,0.107567606,1,0.9323010540000001,0.44130797,Canarina canariensis,Canarina canariensis,(L.) Vatke,Canarina,Campanulaceae,Asterales,asterids,20210517,"Mickey, Ilaine, Gideon",611429,707B,Mediterranean,climbing,0.0692
Can_can,0.9,0.010221663,1,0.936816259,0.441341448,Canarina canariensis,Canarina canariensis,(L.) Vatke,Canarina,Campanulaceae,Asterales,asterids,20210517,"Mickey, Ilaine, Gideon",611429,707B,Mediterranean,climbing,0.0692
Car_pal,0.3,3.778805868,0.648960126,0.552157631,0.64207274,Carya palmeri,Carya palmeri,W.E. Manning,Carya,Juglandaceae,Fagales,rosids,20210726,"Mickey,Somona,James",970479,378,Mexico/Central America,tree,0.0705
Car_pal,0.6,1.03152084,0.8642842685000001,1.54812137,0.318980641,Carya palmeri,Carya palmeri,W.E. Manning,Carya,Juglandaceae,Fagales,rosids,20210726,"Mickey,Somona,James",970479,378,Mexico/Central America,tree,0.0705
Car_pal,0.9,0.3231924005,0.9658601979999999,0.574393308,0.5678204495,Carya palmeri,Carya palmeri,W.E. Manning,Carya,Juglandaceae,Fagales,rosids,20210726,"Mickey,Somona,James",970479,378,Mexico/Central America,tree,0.0705
Car_pen,0.3,5.168141685,0.41002343,20.67414698,0.129176445,Carex pendula,Carex agastachys,Huds.,Carex,Cyperaceae,Poales,monocots,20210526,"Mickey, Adrian,Gideon",20120329,703,Mediterranean,herb,0.0107
Car_pen,0.6,3.9454418760000003,0.6597625195,18.213296005,0.12246836450000001,Carex pendula,Carex agastachys,Huds.,Carex,Cyperaceae,Poales,monocots,20210526,"Mickey, Adrian,Gideon",20120329,703,Mediterranean,herb,0.0107
Car_pen,0.9,0.088613029,1,1.9178915810000001,0.425982292,Carex pendula,Carex agastachys,Huds.,Carex,Cyperaceae,Poales,monocots,20210526,"Mickey, Adrian,Gideon",20120329,703,Mediterranean,herb,0.0107
Cat_edu,0.3,3.863424712,0.679659516,0.903152194,0.627897487,Catha edulis,Catha edulis,Forssk.,Catha,Celastraceae,Celastrales,rosids,20210208; 20210802,"Mickey, Ilaine, Ben; Mickey, Ilaine, Ethan",780415,143,Africa,tree,0.1571
Cat_edu,0.6,0.779631256,0.972652302,3.5812726980000003,0.187819617,Catha edulis,Catha edulis,Forssk.,Catha,Celastraceae,Celastrales,rosids,20210208; 20210802,"Mickey, Ilaine, Ben; Mickey, Ilaine, Ethan",780415,143,Africa,tree,0.1571
Cat_edu,0.9,0.067367526,1,2.088321636,0.22242366,Catha edulis,Catha edulis,Forssk.,Catha,Celastraceae,Celastrales,rosids,20210208; 20210802,"Mickey, Ilaine, Ben; Mickey, Ilaine, Ethan",780415,143,Africa,tree,0.1571
Cel_aus,0.3,0.088005902,0.653468603,0.5855888140000001,0.706923857,Celtis australis,Celtis australis,L.,Celtis,Cannabaceae,Rosales,rosids,20210519,"Ilaine, Mickey, Gideon",790592,701,Mediterranean,tree,0.1721
Cel_aus,0.6,0.0471024605,0.803359077,0.645108256,0.662729295,Celtis australis,Celtis australis,L.,Celtis,Cannabaceae,Rosales,rosids,20210519,"Ilaine, Mickey, Gideon",790592,701,Mediterranean,tree,0.1721
