spp_code,spp_name_ucbg,spp_name_WP,canonical_author,genus_WP,family_WP,order_apg4,clade,sampling_date_YYYYMMDD,collectors,accession_number,ucbg_bed,ucbg_area,growth_form,evol_distinct
Cor_bud,Corokia buddleioides,Corokia buddleioides,A.Cunn.,Corokia,Argophyllaceae,Asterales,asterids,20210704; 20210825,"Mickey, Ilaine; Ilaine, Mickey",505941025,505,Australasia,shrub,0.0924
Cor_lae,Corynocarpus laevigata,Corynocarpus laevigata,J.R.Forst. & G.Forst.,Corynocarpus,Corynocarpaceae,Cucurbitales,rosids,20210504,Mickey Adrian,770128,508,Australasia,tree,0.1469
Cos_tap,Costus tappenbeckianus,Costus tappenbeckianus,J. Braun & K. Schum.,Costus,Costaceae,Zingiberales,monocots,20210816,Mickey,20090527,Greenhouse 2,Tropical house,herb,0.0609
Cri_pat,Crimodendron patagua,Crinodendron patagua,Molina,Crinodendron,Elaeocarpaceae,Oxalidales,rosids,20210426,"Mickey, Adrian, Noah",541123,608,South-America,tree,0.1452
Cup_nud,Cuphea nudicostata,Cuphea nudicostata,Hemsl.,Cuphea,Lythraceae,Myrtales,rosids,20210719,"Ilaine, Sonoma, Lisa, Nguyen, Eric",900446,353,Mexico/Central America,shrub,0.0792
Cus_spi,Cussonia spicata,Cussonia spicata,Thunb.,Cussonia,Araliaceae,Apiales,asterids,20210222; 20210630,"Ilaine, Mickey, Adrian; Mickey, Adrian, James, Lisa, Ethan",730574,142,Africa,tree,0.0387
Cya_ful,Cyathea fulva,Cyathea fulva,(M. Martens & Galeotti) Fée,Cyathea,Cyatheaceae,Cyatheales,ferns,20210719; 2021004,"Ilaine, Sonoma, Lisa, Nguyen, Eric; Mickey, Eric",20120101,352,Mexico/Central America,tree,0.1583
Cyc_bip,Cyclanthus bipartidus,Cyclanthus bipartitus,Poit. ex A. Rich.,Cyclanthus,Cyclanthaceae,Pandanales,monocots,20210818,"Ilaine, Mickey, James, Adrian, Sonoma",931315,Greenhouse 2,Tropical house,herb,0.0338
Dap_him,Daphniphyllum himalayensi,Daphniphyllum himalayense,(Benth.) Müll. Arg.,Daphniphyllum,Daphniphyllaceae,Saxifragales,basal eudicots,20210310,"Mickey, Adrian",20020188,220B,Asia,tree,0.1171
Del_fis,Delphinium fissum,Delphinium fissum,Waldst.,Delphinium,Ranunculaceae,Ranunculales,basal eudicots,20210517,"Mickey, Ilaine, Gideon",20020423,709,Mediterranean,herb,0.038
Des_spi,Desfontainia spinosa,Desfontainia spinosa,Ruiz & Pav.,Desfontainia,Columelliaceae,Bruniales,asterids,20210428,"Mickey, Adrian, Noah",830792,658,South-America,tree,0.2144
Dic_ant,Dicksonia antarctica,Dicksonia antarctica,Labill.,Dicksonia,Dicksoniaceae,Cyatheales,ferns,20210419; 20210929,"Mickey, Adrian; Ilaine, James, Mickey",941056,508,Australasia,tree,0.0655
