...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
52,Dry_rem,Dryopteris ramosa,Dryopteridaceae,Polypodiales,ferns,1.410924411,0.893980464,0.18992677,0.917634309,0.926944634,1,0.822005975,1.565469609,1.432061155,55.93,328.01,152.71,145.63,13797.98,34.61,NA,-82.48,-76.88,-79.68,2.1,2.07,NA,NA,0.31,1
53,Ehr_acu,Ehretia acuminata,Boraginaceae,Boraginales,asterids,2.009418905,0.711476486,0.370294488,0.669233395,0.966714506,0.995717929,0.787362851,1.360190205,1.099273821,64.72,57.85,26.84,188.19,1564.21,3,7.71,-96.59,-70.22,-83.405,2.6,10.54,NA,NA,0.36,6
54,Equ_tel,Equisetum telmateia,Equisetaceae,Equisetales,ferns,1.363816441,1.269109078,1.246572193,0.884831926,1,1,7.867761227,7.426406199,5.928627183,64.92,NA,77.16,NA,NA,14.45,NA,NA,-1.51,NA,2.11,7.3,NA,NA,0.27,1
55,Esc_her,Escallonia herrerae,Escalloniaceae,Escalloniales,asterids,2.663634317,0.457869499,0.317591946,0.698929019,0.974635894,0.993823561,0.806353858,2.072444014,2.073289329,78.44,455.57,73.35,829.84,3249.5,8.91,96.26,-81.54,-67.46,-74.5,4.84,1.62,NA,NA,0.33,6
56,Euc_cri,Euclea crispa,Ebenaceae,Ericales,asterids,2.446860337,2.053057082,1.330309213,0.595691337,0.702985729,0.925870591,0.954869231,0.914695664,1.184488229,162.41,NA,118.3,2258.59,6827.64,29.47,39.83,-63.89,-62.41,-63.15,6.96,28.99,NA,NA,0.53,6
57,Eur_jap,Eurya japonica,Pentaphylacaceae,Ericales,asterids,1.964124851,1.45173698,0.892318246,0.76345149,0.814407745,0.934211315,0.958979826,1.05965804,1.369156268,150.95,NA,260.54,601.13,5920.35,2.95,25.51,-76.07,-47.36,-61.715,2.41,2.45,NA,NA,0.42,6
58,Eus_jap,Staphylea japonica,Staphyleaceae,Crossosomatales,rosids,2.829403847,1.862025775,0.397601694,0.637561536,0.821374488,0.992441929,0.834967085,1.018753264,1.372100098,76.87,135.84,63.31,499.14,4487.42,0.67,NA,-98.68,-98.73,-98.705,6.4,9.4,NA,NA,0.24,5
59,Fra_son,Francoa appendiculata,Francoaceae,Geraniales,rosids,1.61523452,0.799321555,0.310674962,0.764210875,0.913065265,0.987339893,0.799953563,0.849813878,0.838520204,71.12,108.72,57.24,129.92,1460.66,90.38,78.85,-75.73,-90.31,-83.02,6.64,1.63,0.66,1,0.24,5
60,Gom_keu,Gomortega keule,Gomortegaceae,Laurales,basal angiosperms,2.101333386,0.826415578,0.427523113,0.688816731,0.959095337,0.998558764,0.870959124,1.129340552,0.887057274,276.2,364,140.59,1715.99,4501.98,4.8,11.99,-74,-38.86,-56.43,6.77,11.79,NA,NA,0.33,2
61,Hel_chi,Helwingia chinensis,Helwingiaceae,Aquifoliales,asterids,1.347365193,0.366305798,0.328469213,0.807059072,0.960419602,0.983940655,1.158546503,2.946268688,2.94593385,88.09,156.32,94.35,544.69,2308.55,2.88,19.1,-47.82,-65.27,-56.545,2.02,12.67,NA,NA,0.39,6
62,Hib_sca,Hibbertia scandens,Dilleniaceae,Dilleniales,rosids,2.93985229,2.552726272,1.058920939,0.555992068,0.730967123,0.902796772,0.809336376,0.916072553,1.142631806,91.72,132.67,120.1,737.11,4048.73,4.21,NA,-66.45,-43.6,-55.025,4.13,3.2,NA,NA,0.33,5
63,Ill_lan,Illicium lanceolatum,Schisandraceae,Austrobaileyales,basal angiosperms,2.145207568,0.630062968,0.325517038,0.68889599,0.964018367,0.988982305,0.895500547,1.706162886,1.706921022,111.47,NA,141.87,1591.79,4090.29,5.81,18.57,-98.25,-98.42,-98.335,1.27,12.4,0.16,0.51,0.35,2
64,Ite_ili,Itea ilicifolia,Iteaceae,Saxifragales,basal eudicots,1.943471263,1.506641712,0.6032113,0.638608722,0.799365658,0.988133173,0.827303212,0.92136808,0.758632968,207.03,NA,209.15,1450.33,18989.68,5.83,75.75,-63.64,13.43,-25.105,4.68,4.65,NA,NA,0.38,4
65,Kni_uva,Kniphofia uvaria,Asphodelaceae,Asparagales,monocots,2.005018652,0,0,0.638974354,0,0,5.103200087,0,3.080759756,92.15,476.25,219.26,390.98,5351.83,30.11,71.2,-81.95,-96.71,-89.33,1.02,11.58,NA,NA,0.22,3
66,Lon_jap,Lonicera japonica,Caprifoliaceae,Dipsacales,asterids,1.849321734,1.188709268,0.502439199,0.71392333,0.906725931,0.968978486,0.768756706,1.074106961,1.227476301,48.61,76.27,170.3,325.21,6525.94,NA,NA,-91.93,-97.54,-94.735,1.48,12.78,NA,NA,0.33,6
67,Luz_niv,Luzula nivea,Juncaceae,Poales,monocots,0,1.933328436,0.419796795,0,0.773963652,1,0,8.205981217,5.057796594,93.22,NA,333.32,NA,6999.55,467.62,NA,NA,-70.54,NA,2.61,12.87,NA,NA,0.43,3
68,Mag_che,Magnolia chevalieri,Magnoliaceae,Magnoliales,basal angiosperms,1.117749741,0.281026429,0.228986803,0.849400476,0.93239066,0.98548262,1.022561577,2.007613916,1.554333136,93.62,361.01,63.49,2524.91,5771.59,9.79,NA,-97.17,-97.46,-97.315,1.75,34.83,0.73,1.96,0.27,2
69,Mal_pal,Malacothamnus palmeri,Malvaceae,Malvales,rosids,2.443080689,0.904282908,0.324347744,0.659777592,0.933792171,1,0.786348886,0.882286278,0.296796486,100.94,7.7,25.63,83.35,731.72,0.12,NA,-93.84,-92.73,-93.285,1.57,4.73,NA,NA,0.5,5
70,Mel_maj,Melianthus major,Francoaceae,Geraniales,rosids,2.245769316,0.340182838,0.255517835,0.678345551,0.95448552,0.990930774,0.820936478,1.144980308,1.146256569,86.55,370.18,64.46,804.79,13784.6,8.67,NA,-79.58,5.23,-37.175,7,1.18,NA,NA,0.23,5
71,Met_dav,Metapanax davidii,Araliaceae,Apiales,asterids,0.993042351,0.539082481,0.191465242,0.800152253,0.955253297,1,0.954228754,1.183290973,1.164331569,99.04,224.47,151.45,688.75,5196.97,9.25,26.62,-35.56,-5.56,-20.56,0.85,1.12,0.56,1.96,0.34,6
72,Mic_mul,Miconia multiplinervia,Melastomataceae,Myrtales,rosids,1.198424507,0.834953679,0.579726164,0.809101291,0.883661376,0.969985926,0.873041379,0.940926984,1.030422288,45.64,119.33,119.31,480.59,9266.65,4.43,NA,-88.02,-56.83,-72.425,6.16,1.36,NA,NA,0.26,5
73,Mic_pla,Microlepia platyphylla,Dennstaedtiaceae,Polypodiales,ferns,1.160492003,1.144982392,0.807481316,0.95345671,0.959288893,0.969773668,1.790530066,1.790661772,1.799581522,84.72,253.04,204.7,368.47,8601.36,NA,NA,-84.17,-94.05,-89.11,2.83,0.86,0.75,2.3,0.36,1
74,Mon_car,Montinia caryophyllacea,Montiniaceae,Solanales,asterids,1.885004434,1.061088108,0.453560284,0.699592662,0.899165655,0.96504121,0.876656084,1.64049239,1.123179115,56.03,218.28,218.15,731.59,2453.54,NA,NA,NA,NA,NA,4.41,4.86,NA,NA,0.39,6
75,Myr_rub,Morella rubra,Myricaceae,Fagales,rosids,1.886381099,0.420091404,0.259250857,0.670224064,0.990580843,0.995695136,0.790572446,2.18288367,1.553905703,137.72,406.47,197.96,1536.5,5473.72,1.19,NA,-92.69,-95.53,-94.11,4.39,10.19,NA,NA,0.31,5
76,Nan_dom,Nandina domestica,Berberidaceae,Ranunculales,basal eudicots,2.050621636,0.647768335,0.261514719,0.708362203,0.987846588,1,0.916471652,1.571182561,0.99604429,93.92,NA,115.16,1522.99,8099.51,7.32,NA,-52.14,52.28,0.07,6.1,2.73,1.24,3.76,0.43,4
77,Not_fus,Fuscospora fusca,Nothofagaceae,Fagales,rosids,2.254825432,1.738121711,0.559861463,0.66709689,0.763848353,1,0.765398332,0.869928129,0.909618119,154.23,249.2,104.16,2790.33,6925.46,11.75,20.88,-85.84,55.56,-15.14,6.38,11.09,1.14,4.33,0.31,5
78,Ole_eur,Olea europaea,Oleaceae,Lamiales,asterids,2.482202884,0.876992299,0.42904994,0.715777998,0.987607298,1,0.96305952,2.020632192,1.32617681,184.6,NA,186.36,4456.98,8692.09,4.5,NA,-33.13,-40.6,-36.865,3.52,3.38,NA,NA,0.83,6
79,Ono_sen,Onoclea sensibilis,Onocleaceae,Polypodiales,ferns,2.27954549,2.057311873,0.479466858,0.49072959,0.653940941,0.981608085,1.498921378,1.87401131,2.155413888,22.54,99.38,190.5,458.1,4948.88,3.11,NA,-88.57,-95.99,-92.28,5.95,1.16,NA,NA,0.22,1
80,Osm_ber,Osmorhiza berteroi,Apiaceae,Apiales,asterids,3.067214294,2.711796827,0.560692315,0.456566184,0.629332658,1,0.891822487,0.970836177,1.337936125,18.91,66.74,128.74,875.28,14448.04,NA,NA,-8.19,1.59,-3.3,2.35,7.59,NA,NA,0.44,6
81,Pae_bro,Paeonia broteroi,Paeoniaceae,Saxifragales,basal eudicots,2.060719915,0.326614966,0.212455788,0.731369967,0.974552117,0.99041267,0.892833985,0.481018767,0.483336419,69.92,521.06,240.39,42792.97,6640.94,NA,NA,-88.56,-89.37,-88.965,7.54,16.29,NA,NA,0.44,4
82,Par_tor,Parajubaea torallyi,Arecaceae,Arecales,monocots,2.051503335,0.449470798,0,0.358524147,0.968463815,0,2.633574622,6.159965893,2.423284038,246.69,553.15,363.09,3483.18,19.49,55.85,266.02,-99.93,-99.73,-99.83,2.54,1.19,NA,NA,0.23,3
83,Per_acu,Pereskia aculeata,Cactaceae,Caryophyllales,rosids,2.076690944,2.07666131,1.551014999,0.597708782,0.597756438,0.729558939,0.819042804,1.414573003,1.080223714,66.78,14.83,12.62,86.13,447.89,NA,NA,-82.01,-89.7,-85.855,1.7,0.4,NA,NA,0.33,5
84,Peu_bol,Peumus boldus,Monimiaceae,Laurales,basal angiosperms,1.666488591,0.347651731,0.206310909,0.721179027,1,1,0.812972492,1.536999211,0.948700159,127.61,250.17,130.58,746.56,1788.63,41.74,33.13,-93.84,-93.96,-93.9,4.16,7.3,NA,NA,0.5,2
85,Phi_lat,Phillyrea latifolia,Oleaceae,Lamiales,asterids,2.314608975,1.154128408,0.414639278,0.669278695,0.945051322,0.99220505,0.820243952,1.197907054,1.661881852,196.63,491.99,150.69,48897.43,4948.59,17.92,41.33,-74.6,-83.7,-79.15,4.39,20.03,NA,NA,0.39,6
