spp_code,rmin_binned,VD.median,MST.median,ER.median,CR.median,spp_name_ucbg,spp_name_WP,canonical_author,genus_WP,family_WP,order_apg4,clade,sampling_date_YYYYMMDD,collectors,accession_number,ucbg_bed,ucbg_area,growth_form,evol_distinct
Clu_ala,0.5,2.7383773075,0.7945916045,0.623614022,0.29925172,Clusia alata,Clusia alata,Planch. & Triana,Clusia,Clusiaceae,Malpighiales,rosids,20210721,"Ilaine, Sonoma, James",891280,359,Mexico/Central America,tree,0.1266
Clu_ala,1,1.843303523,0.861980721,1.1165554100000001,0.394714063,Clusia alata,Clusia alata,Planch. & Triana,Clusia,Clusiaceae,Malpighiales,rosids,20210721,"Ilaine, Sonoma, James",891280,359,Mexico/Central America,tree,0.1266
Clu_ala,1.5,0.122223049,1,2.049842452,0.290682441,Clusia alata,Clusia alata,Planch. & Triana,Clusia,Clusiaceae,Malpighiales,rosids,20210721,"Ilaine, Sonoma, James",891280,359,Mexico/Central America,tree,0.1266
Cne_tri,0.5,8.278048515,0.5802943325000001,0.737699924,0.682307333,Cneorum tricoccon,Cneorum tricoccon,L.,Cneorum,Rutaceae,Sapindales,rosids,20210524,"Mickey, Adrian,James",20041196,702,Mediterranean,shrub,0.1722
Cne_tri,1,6.248583229,0.740093952,0.879384699,0.548504952,Cneorum tricoccon,Cneorum tricoccon,L.,Cneorum,Rutaceae,Sapindales,rosids,20210524,"Mickey, Adrian,James",20041196,702,Mediterranean,shrub,0.1722
Cne_tri,1.5,0.185968399,1,4.4774250680000005,0.314944511,Cneorum tricoccon,Cneorum tricoccon,L.,Cneorum,Rutaceae,Sapindales,rosids,20210524,"Mickey, Adrian,James",20041196,702,Mediterranean,shrub,0.1722
Com_ery,0.5,3.4716579525,0.6530228915,0.6535992469999999,0.6470507075,Combretum erythrophyllum,Combretum erythrophyllum,Sond.,Combretum,Combretaceae,Myrtales,rosids,20210210,"Ilaine, Mickey; Mickey, Ilaine, Ethan",730581,144,Africa,tree,0.2631
Com_ery,1,2.4124707355,0.7408383700000001,0.892230855,0.5801616165,Combretum erythrophyllum,Combretum erythrophyllum,Sond.,Combretum,Combretaceae,Myrtales,rosids,20210210,"Ilaine, Mickey; Mickey, Ilaine, Ethan",730581,144,Africa,tree,0.2631
Com_ery,1.5,0.232385684,0.985770701,1.7384394049999998,0.597284907,Combretum erythrophyllum,Combretum erythrophyllum,Sond.,Combretum,Combretaceae,Myrtales,rosids,20210210,"Ilaine, Mickey; Mickey, Ilaine, Ethan",730581,144,Africa,tree,0.2631
Com_umb,0.5,7.425643568,0.635544706,0.82468794,0.605003611,Comandar umbellata,Comandra umbellata,(L.) Nutt.,Comandra,Comandraceae,Santalales,rosids,20210706,"Mickey, Adrian, Lisa, James, Sophia",941236,23B,California,shrub,0.2529
Com_umb,1,5.8626658695,0.7456957085,1.1158560100000001,0.489057407,Comandar umbellata,Comandra umbellata,(L.) Nutt.,Comandra,Comandraceae,Santalales,rosids,20210706,"Mickey, Adrian, Lisa, James, Sophia",941236,23B,California,shrub,0.2529
